country,01,02,03,04,05,06,07,08,09,10,11,12
AT,6379.4754638671875,5886.027069091797,6072.162994384766,5412.570465087891,5290.636199951172,5216.748779296875,5395.370666503906,5228.072692871094,5223.988006591797,5758.102569580078,5914.551361083984,6164.336486816406
BA,1045.0771484375,942.3076171875,975.591796875,882.8310546875,848.568359375,830.341796875,885.9921875,876.3564453125,838.732421875,929.365234375,977.40234375,1092.705078125
BE,8078.672912597656,7375.729553222656,7668.419036865234,6965.627868652344,6828.913238525391,6654.442718505859,6527.869140625,6620.274688720703,6771.202362060547,7314.570465087891,7374.593719482422,7544.431701660156
BG,3290.7373046875,2984.0546875,2931.8916015625,2448.6357421875,2233.5966796875,2210.181640625,2391.08984375,2353.0546875,2247.125,2529.294921875,2677.8642578125,3104.1875
CH,6113.140960693359,5722.371887207031,5666.3883056640625,4977.223724365234,4813.905944824219,4675.757995605469,4686.244476318359,4674.7283935546875,4815.663269042969,5252.001007080078,5512.387512207031,5825.407745361328
CS,1689.462890625,1562.146484375,1493.107421875,1235.90625,1102.376953125,1037.275390625,1054.068359375,1048.615234375,1059.794921875,1252.96875,1422.046875,1658.7109375
CZ,6045.2939453125,5580.81640625,5734.814453125,5077.779296875,4826.5927734375,4630.671875,4601.609375,4543.1396484375,4737.13671875,5374.810546875,5539.4111328125,5690.3623046875
DE,49633.488220214844,46477.81106567383,47358.49743652344,41924.514221191406,41041.236724853516,40805.51580810547,42124.01745605469,40711.97445678711,41658.60693359375,45795.8600769043,46550.557861328125,46588.615173339844
DK_W,562.0625,507.666015625,529.27734375,462.873046875,457.453125,464.71875,420.01171875,480.408203125,473.435546875,503.94921875,530.12890625,541.455078125
ES,23206.274353027344,21537.33184814453,21855.511932373047,19640.47686767578,20440.614868164062,20980.738403320312,23487.172760009766,21563.794677734375,20572.626342773438,20618.71514892578,20962.651489257812,22081.843688964844
FR,51427.012603759766,47451.841552734375,45191.88558959961,37732.50524902344,34702.22674560547,33366.24435424805,34771.03076171875,31743.179901123047,33634.96923828125,38731.913024902344,42109.41519165039,46616.175720214844
GR,4691.805969238281,4109.888946533203,4345.307312011719,3677.51220703125,3856.0188598632812,4163.733642578125,5016.484893798828,4733.3131103515625,4080.4595336914062,3932.6593017578125,3981.054443359375,4619.655578613281
HR,1545.021484375,1438.4072265625,1448.8486328125,1289.033203125,1252.0068359375,1250.28125,1466.6728515625,1422.1484375,1285.537109375,1324.4970703125,1364.9853515625,1542.7314453125
HU,3562.876953125,3267.142578125,3416.607421875,3131.6279296875,3115.7490234375,3132.6220703125,3323.9560546875,3210.212890625,3184.28125,3387.6953125,3398.396484375,3438.9853515625
IT,27199.82406616211,25600.037811279297,27101.781494140625,24532.876831054688,25579.929443359375,26631.81216430664,30815.034606933594,24620.75064086914,26606.178985595703,26482.261352539062,26127.44888305664,26313.388305664062
LU,568.0005187988281,532.5162658691406,569.0069885253906,513.6784362792969,506.1715393066406,500.90679931640625,533.6959228515625,479.12188720703125,493.5582275390625,552.5434875488281,546.0809326171875,519.1556701660156
MK,771.5908203125,673.099609375,684.896484375,570.3681640625,497.59375,463.9384765625,520.8671875,520.5791015625,499.0556640625,567.3486328125,632.2607421875,748.427734375
NL,9945.167358398438,9292.91293334961,9669.80062866211,8774.773376464844,8796.982452392578,8801.546417236328,9031.37368774414,8947.480712890625,8991.669372558594,9662.829284667969,9737.793670654297,10216.559967041016
PL,13312.9794921875,12100.828125,12733.3134765625,11529.6904296875,11321.3466796875,11056.2548828125,11520.9248046875,11501.25,11465.5810546875,12683.392578125,12578.8642578125,13017.470703125
PT,4574.2501220703125,4112.91650390625,4141.865173339844,3720.6070556640625,3871.6419067382812,3864.078857421875,4180.191162109375,3830.8587951660156,3863.9989318847656,3958.545928955078,4023.7706604003906,4297.380798339844
RO,4628.0810546875,4272.2509765625,4419.7646484375,4019.416015625,3904.1943359375,3837.3837890625,4149.8837890625,3972.1982421875,3841.8896484375,4244.7548828125,4299.3115234375,4544.3662109375
SI,1179.388671875,1094.484375,1142.8876953125,1039.4775390625,1056.3857421875,1047.1044921875,1102.287109375,1038.84375,1054.8701171875,1133.005859375,1126.7041015625,1162.708984375
SK,2499.9365234375,2303.6611328125,2390.9130859375,2143.490234375,2091.1806640625,2036.59765625,2095.404296875,2065.0,2072.8330078125,2312.80078125,2330.9990234375,2428.6494140625
SIHR,147.1024169921875,132.2733154296875,136.646240234375,118.6416015625,127.68701171875,115.435546875,131.074462890625,113.694091796875,118.9637451171875,126.80224609375,134.2183837890625,147.46728515625
YUGO,1297.1766357421875,1087.2286376953125,1067.7840576171875,933.0440673828125,777.716552734375,752.8343505859375,765.552978515625,762.5120849609375,780.803466796875,920.917236328125,1055.5396728515625,1294.2591552734375
CY,369.53125,341.96875,326.28125,281.46875,318.15625,356.875,454.40625,476.5,411.09375,335.59375,291.90625,347.8125
DK,3157.78125,2856.875,2900.09375,2413.09375,2559.25,2447.53125,2427.59375,2546.90625,2514.75,2321.3125,2673.75,3034.4375
EE,805.1875,721.1875,740.0625,654.28125,597.84375,536.96875,540.5625,560.1875,581.25,671.59375,686.75,742.65625
FI,8300.03125,7365.8125,7645.03125,6658.1875,6107.5,5564.53125,5728.53125,5880.15625,5991.6875,6890.75,7127.25,7637.75
GB,31175.375,28245.1875,29986.4375,25569.84375,24857.65625,23460.59375,23908.65625,23565.71875,24228.8125,26976.75,28862.96875,29781.3125
IE,2391.3125,2175.0,2291.9375,2068.25,2077.03125,1933.4375,1991.46875,1982.34375,1997.21875,2172.03125,2236.21875,2347.53125
IS,1511.75,1393.03125,1512.65625,1421.4375,1475.125,1370.28125,1409.6875,1412.90625,1383.125,1460.625,1453.28125,1509.375
LT,976.25,870.5,895.875,824.6875,810.125,781.8125,807.34375,822.21875,816.90625,901.15625,903.40625,949.15625
LV,697.09375,623.3125,640.875,576.75,547.34375,506.5625,532.0625,548.1875,544.34375,612.125,615.4375,657.15625
ME,371.234375,348.3828125,391.68359375,396.8125,291.375,257.61328125,323.875,299.46484375,260.57421875,257.1796875,319.203125,340.8046875
NI,825.625,1065.3125,769.3125,686.78125,691.21875,643.4375,635.625,648.9375,663.90625,725.09375,750.4375,777.75
NO,13335.53125,11919.28125,11970.78125,10117.6875,9318.5625,8251.25,7887.25,8152.21875,8624.53125,10281.625,11330.21875,12586.4375
RS,4037.921875,3662.5234375,3770.3671875,3142.640625,2824.67578125,2743.0390625,2911.28125,2856.2109375,2764.34765625,3228.95703125,3377.89453125,3994.62109375
SE,14143.71875,12774.78125,12932.65625,10918.28125,10071.28125,9200.34375,8634.8125,9278.8125,9679.4375,11241.25,11940.6875,13090.375
ALL,315492.244140625,290408.9088745117,295521.0220336914,258485.38400268555,251887.8709411621,246581.44525146484,259191.03680419922,246092.3323059082,250834.94525146484,273427.6478881836,283477.8489379883,298996.6138000488
